종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중,ETF명
009520,포스코엠텍,50.00,866000,881000,0.09,TIGER_GREEN_NEWDEAL
005180,빙그레,12.00,890400,860400,0.09,TIGER_GREEN_NEWDEAL
001740,SK네트웍스,151.00,809360,788220,0.08,TIGER_GREEN_NEWDEAL
300720,한일시멘트,43.00,710790,701760,0.08,TIGER_GREEN_NEWDEAL
280360,롯데웰푸드,6.00,697200,667200,0.07,TIGER_GREEN_NEWDEAL
161000,애경케미칼,45.00,513000,666900,0.07,TIGER_GREEN_NEWDEAL
020000,한섬,27.00,702000,646650,0.07,TIGER_GREEN_NEWDEAL
000640,동아쏘시오홀딩스,6.00,590400,573000,0.06,TIGER_GREEN_NEWDEAL
089860,롯데렌탈,18.00,586800,554400,0.06,TIGER_GREEN_NEWDEAL
003850,보령,60.00,579000,554400,0.06,TIGER_GREEN_NEWDEAL
030610,교보증권,42.00,547680,499800,0.05,TIGER_GREEN_NEWDEAL
344820,KCC글라스,20.00,507000,499000,0.05,TIGER_GREEN_NEWDEAL
006120,SK디스커버리,9.00,486900,472500,0.05,TIGER_GREEN_NEWDEAL
024720,콜마홀딩스,53.00,486540,470110,0.05,TIGER_GREEN_NEWDEAL
031430,신세계인터내셔날,38.00,471580,461320,0.05,TIGER_GREEN_NEWDEAL
071320,지역난방공사,6.00,476400,447600,0.05,TIGER_GREEN_NEWDEAL
006220,제주은행,36.00,461160,443700,0.05,TIGER_GREEN_NEWDEAL
060980,HL홀딩스,9.00,407250,393300,0.04,TIGER_GREEN_NEWDEAL
017810,풀무원,33.00,399630,392700,0.04,TIGER_GREEN_NEWDEAL
013890,지누스,36.00,389520,371520,0.04,TIGER_GREEN_NEWDEAL
018250,애경산업,22.00,336600,361900,0.04,TIGER_GREEN_NEWDEAL
108670,LX하우시스,12.00,342600,340200,0.04,TIGER_GREEN_NEWDEAL
014820,동원시스템즈,13.00,341250,330200,0.04,TIGER_GREEN_NEWDEAL
136480,하림,102.00,328440,329460,0.04,TIGER_GREEN_NEWDEAL
145990,삼양사,7.00,319900,316050,0.03,TIGER_GREEN_NEWDEAL
105630,한세실업,27.00,329400,305640,0.03,TIGER_GREEN_NEWDEAL
KRD010010001,원화현금,,,14316378,1.54,TIGER_GREEN_NEWDEAL
000720,현대건설,150.00,22470000,22275000,2.39,SOL_CLIMATE
402340,SK스퀘어,39.00,21216000,19929000,2.14,SOL_CLIMATE
010120,LS ELECTRIC,24.00,19224000,18624000,2.00,SOL_CLIMATE
055550,신한지주,191.00,17858500,17190000,1.84,SOL_CLIMATE
105560,KB금융,118.00,17959600,17157200,1.84,SOL_CLIMATE
005380,현대차,36.00,17820000,16866000,1.81,SOL_CLIMATE
000660,SK하이닉스,19.00,17518000,16653500,1.79,SOL_CLIMATE
009150,삼성전기,38.00,16492000,16435000,1.76,SOL_CLIMATE
017670,SK텔레콤,209.00,16699100,16302000,1.75,SOL_CLIMATE
086790,하나금융지주,146.00,16118400,15607400,1.67,SOL_CLIMATE
005490,POSCO홀딩스,45.00,15435000,15390000,1.65,SOL_CLIMATE
005930,삼성전자,87.00,15633900,15312000,1.64,SOL_CLIMATE
316140,우리금융지주,455.00,15288000,14719250,1.58,SOL_CLIMATE
028260,삼성물산,55.00,14795000,14300000,1.53,SOL_CLIMATE
034730,SK,44.00,14696000,14234000,1.53,SOL_CLIMATE
005830,DB손해보험,86.00,14869400,14121200,1.51,SOL_CLIMATE
