종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중,ETF명,ETF_ID,시가총액 구성비중_정규화
018670,SK가스,5.00,1232500,1312500,0.0014000000000000002,KODEX_200ESG,KODEX_200ESG,0.0014011208967173742
195870,해성디에스,26.00,1409200,1310400,0.0014000000000000002,KODEX_200ESG,KODEX_200ESG,0.0014011208967173742
181710,NHN,31.00,1297350,1298900,0.0014000000000000002,KODEX_200ESG,KODEX_200ESG,0.0014011208967173742
285130,SK케미칼,22.00,1210000,1146200,0.0012,KODEX_200ESG,KODEX_200ESG,0.0012009607686148918
298050,HS효성첨단소재,5.00,1130000,1102500,0.0012,KODEX_200ESG,KODEX_200ESG,0.0012009607686148918
456040,OCI,11.00,1031800,1084600,0.0012,KODEX_200ESG,KODEX_200ESG,0.0012009607686148918
005440,현대지에프홀딩스,77.00,1105720,1078770,0.0012,KODEX_200ESG,KODEX_200ESG,0.0012009607686148918
039130,하나투어,26.00,1077700,1058200,0.0011,KODEX_200ESG,KODEX_200ESG,0.001100880704563651
038500,삼표시멘트,68.00,1114520,1042440,0.0011,KODEX_200ESG,KODEX_200ESG,0.001100880704563651
006040,동원산업,27.00,1080000,1040850,0.0011,KODEX_200ESG,KODEX_200ESG,0.001100880704563651
001500,현대차증권,93.00,1013700,965340,0.001,KODEX_200ESG,KODEX_200ESG,0.00100080064051241
293490,카카오게임즈,77.00,1016400,956340,0.001,KODEX_200ESG,KODEX_200ESG,0.00100080064051241
001680,대상,47.00,987000,942350,0.001,KODEX_200ESG,KODEX_200ESG,0.00100080064051241
000370,한화손해보험,132.00,893640,884400,0.0009,KODEX_200ESG,KODEX_200ESG,0.000900720576461169
009520,포스코엠텍,50.00,866000,881000,0.0009,KODEX_200ESG,KODEX_200ESG,0.000900720576461169
005180,빙그레,12.00,890400,860400,0.0009,KODEX_200ESG,KODEX_200ESG,0.000900720576461169
001740,SK네트웍스,151.00,809360,786710,0.0008,KODEX_200ESG,KODEX_200ESG,0.000800640512409928
300720,한일시멘트,43.00,710790,702190,0.0008,KODEX_200ESG,KODEX_200ESG,0.000800640512409928
280360,롯데웰푸드,6.00,697200,667200,0.0007000000000000001,KODEX_200ESG,KODEX_200ESG,0.0007005604483586871
161000,애경케미칼,45.00,513000,666900,0.0007000000000000001,KODEX_200ESG,KODEX_200ESG,0.0007005604483586871
020000,한섬,27.00,702000,648000,0.0007000000000000001,KODEX_200ESG,KODEX_200ESG,0.0007005604483586871
000640,동아쏘시오홀딩스,6.00,590400,573000,0.0006,KODEX_200ESG,KODEX_200ESG,0.0006004803843074459
089860,롯데렌탈,18.00,586800,554400,0.0006,KODEX_200ESG,KODEX_200ESG,0.0006004803843074459
003850,보령,60.00,579000,554400,0.0006,KODEX_200ESG,KODEX_200ESG,0.0006004803843074459
344820,KCC글라스,20.00,507000,499000,0.0005,KODEX_200ESG,KODEX_200ESG,0.000500400320256205
030610,교보증권,42.00,547680,498540,0.0005,KODEX_200ESG,KODEX_200ESG,0.000500400320256205
006120,SK디스커버리,9.00,486900,472500,0.0005,KODEX_200ESG,KODEX_200ESG,0.000500400320256205
024720,콜마홀딩스,53.00,486540,470110,0.0005,KODEX_200ESG,KODEX_200ESG,0.000500400320256205
031430,신세계인터내셔날,38.00,471580,461320,0.0005,KODEX_200ESG,KODEX_200ESG,0.000500400320256205
071320,지역난방공사,6.00,476400,448200,0.0005,KODEX_200ESG,KODEX_200ESG,0.000500400320256205
006220,제주은행,36.00,461160,443700,0.0005,KODEX_200ESG,KODEX_200ESG,0.000500400320256205
060980,HL홀딩스,9.00,407250,394200,0.0004,KODEX_200ESG,KODEX_200ESG,0.000400320256204964
017810,풀무원,33.00,399630,392370,0.0004,KODEX_200ESG,KODEX_200ESG,0.000400320256204964
013890,지누스,36.00,389520,371520,0.0004,KODEX_200ESG,KODEX_200ESG,0.000400320256204964
018250,애경산업,22.00,336600,363660,0.0004,KODEX_200ESG,KODEX_200ESG,0.000400320256204964
108670,LX하우시스,12.00,342600,340200,0.0004,KODEX_200ESG,KODEX_200ESG,0.000400320256204964
014820,동원시스템즈,13.00,341250,330200,0.0004,KODEX_200ESG,KODEX_200ESG,0.000400320256204964
136480,하림,102.00,328440,329460,0.0004,KODEX_200ESG,KODEX_200ESG,0.000400320256204964
145990,삼양사,7.00,319900,316050,0.0003,KODEX_200ESG,KODEX_200ESG,0.00030024019215372296
105630,한세실업,27.00,329400,305370,0.0003,KODEX_200ESG,KODEX_200ESG,0.00030024019215372296
010001,원화현금,,,14316378,0.0154,KODEX_200ESG,KODEX_200ESG,0.015412329863891114
000720,현대건설,150.00,22470000,22305000,0.0239,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.02392871445734882
402340,SK스퀘어,39.00,21216000,19929000,0.021400000000000002,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.02142571085302363
010120,LS ELECTRIC,24.00,19224000,18600000,0.0199,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.019923908690428514
105560,KB금융,118.00,17959600,17192600,0.0184,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.0184221065278334
055550,신한지주,191.00,17858500,17190000,0.0184,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.0184221065278334
005380,현대차,36.00,17820000,16884000,0.0181,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.01812174609531438
000660,SK하이닉스,19.00,17518000,16682000,0.0179,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.01792150580696836
009150,삼성전기,38.00,16492000,16416000,0.0176,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.01762114537444934
017670,SK텔레콤,209.00,16699100,16281100,0.0175,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.017521025230276332
086790,하나금융지주,146.00,16118400,15636600,0.0168,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.016820184221065276
005490,POSCO홀딩스,45.00,15435000,15367500,0.0165,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.016519823788546256
005930,삼성전자,87.00,15633900,15312000,0.016399999999999998,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.016419703644373247
316140,우리금융지주,455.00,15288000,14719250,0.0158,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.015818982779335203
028260,삼성물산,55.00,14795000,14272500,0.015300000000000001,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.015318382058470165
034730,SK,44.00,14696000,14212000,0.0152,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.015218261914297156
005830,DB손해보험,86.00,14869400,14129800,0.0152,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.015218261914297156
032830,삼성생명,65.00,14495000,14105000,0.0151,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.01511814177012415
267260,HD현대일렉트릭,16.00,14640000,13984000,0.015,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.015018021625951141
000270,기아,90.00,14022000,13554000,0.014499999999999999,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.014517420905086101
086280,현대글로비스,63.00,14584500,13545000,0.014499999999999999,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.014517420905086101
000150,두산,12.00,14436000,13416000,0.0144,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.014417300760913096
096770,SK이노베이션,117.00,13033800,13150800,0.0141,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.014116940328394072
028050,삼성E&A,392.00,12975200,13092800,0.013999999999999999,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.014016820184221063
006400,삼성SDI,31.00,12570500,12756500,0.0137,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.013716459751702043
016360,삼성증권,131.00,12785600,12353300,0.0132,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.013215859030837005
207940,삼성바이오로직스,8.00,12848000,12256000,0.0131,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.013115738886663997
267250,HD현대,50.00,12875000,12200000,0.0131,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.013115738886663997
030200,KT,200.00,12160000,11980000,0.0128,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.012815378454144974
323410,카카오뱅크,493.00,12152450,11979900,0.0128,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.012815378454144974
035420,NAVER,57.00,12112500,11770500,0.0126,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.01261513816579896
003230,삼양식품,10.00,11830000,11730000,0.0126,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.01261513816579896
138040,메리츠금융지주,102.00,11872800,11689200,0.0125,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.012515018021625952
011200,HMM,603.00,11854980,11674080,0.0125,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.012515018021625952
003670,포스코퓨처엠,53.00,11077000,11368500,0.012199999999999999,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.012214657589106927
068270,셀트리온,55.00,11330000,11082500,0.011899999999999999,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.011914297156587905
066570,LG전자,102.00,11424000,11026200,0.0118,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.011814177012414898
005940,NH투자증권,356.00,12193000,10982600,0.0118,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.011814177012414898
009830,한화솔루션,298.00,10623700,10906800,0.011699999999999999,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.011714056868241889
090430,아모레퍼시픽,76.00,10974400,10655200,0.011399999999999999,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.011413696435722867
329180,HD현대중공업,22.00,10967000,10527000,0.0113,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.01131357629154986
036570,엔씨소프트,47.00,10810000,10340000,0.0111,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.011113336003203845
373220,LG에너지솔루션,25.00,9862500,10125000,0.0109,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.010913095714857829
010950,S-Oil,92.00,10092400,10064800,0.0108,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.010812975570684821
259960,크래프톤,40.00,10180000,10000000,0.010700000000000001,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.010712855426511816
012330,현대모비스,25.00,10212500,9875000,0.0106,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.010612735282338807
035720,카카오,199.00,9711200,9362950,0.01,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.010012014417300761
000810,삼성화재,21.00,9303000,9313500,0.01,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.010012014417300761
010140,삼성중공업,375.00,9750000,9168750,0.0098,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.009811774128954745
009540,HD한국조선해양,26.00,9542000,8996000,0.0096,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.009611533840608729
018260,삼성에스디에스,59.00,9221700,8985700,0.0096,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.009611533840608729
011070,LG이노텍,29.00,9294500,8975500,0.0096,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.009611533840608729
034220,LG디스플레이,805.00,9257500,8935500,0.0096,TIGER_GREEN_NEWDEAL,TIGER_GREEN_NEWDEAL,0.009611533840608729
