NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정,ESG점수,E점수,S점수,G점수
1010,KEC,092220,D,C,D,D,2025,,,,,2,4,2,2
1000,KPX홀딩스,092230,C,C,B,D,2025,,,,,4,4,6,2
865,기신정기,092440,D,D,D,D,2025,,,,,2,2,2,2
1059,DYP,092780,D,C,C,D,2025,,,,,2,4,4,2
846,넥스틸,092790,C,C,D,C,2025,,,,,4,4,2,4
992,LF,093050,B+,B+,B+,B+,2025,,,,,7,7,7,7
359,이아이디,093230,D,D,D,D,2025,,,,,2,2,2,2
29,형지엘리트,093240,D,D,D,D,2025,,,,,2,2,2,2
9,후성,093370,B+,B+,A,B,2025,,,,,7,7,8,6
13,효성 ITX,094280,A,A,A+,A,2025,,,,,8,8,9,8
276,칩스앤미디어,094360,C,D,C,B,2025,,,,,4,2,4,6
907,갤럭시아머니트리,094480,C,D,C,C,2025,,,,,4,2,4,4
1022,ISC,095340,C,C,A,C,2025,,,,,4,4,8,4
685,미래나노텍,095500,C,B,B,C,2025,,,,,4,6,6,4
1091,AJ네트웍스,095570,B+,C,A,A,2025,,,,,7,4,8,8
207,테스,095610,C,B,B+,C,2025,,,,,4,6,7,4
852,네오위즈,095660,C,C,B,C,2025,,,,,4,4,6,4
404,웅진씽크빅,095720,C,B,A,C,2025,,,,,4,6,8,4
511,씨젠,096530,B+,B+,A,B,2025,,,,,7,7,8,6
1018,JW홀딩스,096760,B+,B+,A,B+,2025,,,,,7,7,8,7
935,SK이노베이션,096770,A,B+,A+,A+,2025,,,,,8,7,9,9
1037,HJ중공업,097230,B+,A,B+,B+,2025,통합 등급조정(2026.01.),,사회 등급조정(2026.01.),,7,8,7,7
436,엠씨넥스,097520,B+,B,A,B+,2025,,,,,7,6,8,7
1076,CJ제일제당,097950,A,A,A+,A,2025,,,,,8,8,9,8
891,고영,098460,B+,B,A,B,2025,,,,,7,6,8,6
495,아이센스,099190,B+,B,B+,A,2025,,,,,7,6,7,8
936,SK오션플랜트,100090,A,A,A+,A,2025,,,,,8,8,9,8
653,비상교육,100220,C,D,B,D,2025,,,,,4,2,6,2
287,진양홀딩스,100250,D,D,D,D,2025,,,,,2,2,2,2
682,미래에셋벤처투자,100790,D,D,D,D,2025,,,,,2,2,2,2
926,SNT에너지,100840,C,C,D,C,2025,,,,,4,4,2,4
351,인바이오젠,101140,D,D,D,D,2025,,,,,2,2,2,2
453,에코앤드림,101360,D,C,C,D,2025,,,,,2,4,4,2
476,에스앤에스텍,101490,C,D,D,B+,2025,,,,,4,2,2,7
59,해태제과식품,101530,C,B,B+,C,2025,,,,,4,6,7,4
768,동성케미컬,102260,A,A,A+,B+,2025,,,,,8,8,9,7
518,쌍방울,102280,D,D,D,D,2025,,,,,2,2,2,2
356,이연제약,102460,C,D,D,B,2025,,,,,4,2,2,6
232,코오롱생명과학,102940,C,D,C,B,2025,,,,,4,2,4,6
168,풍산,103140,B+,B,A,B+,2025,,,,,7,6,8,7
330,일진전기,103590,D,C,C,D,2025,,,,,2,4,4,2
192,티케이케미칼,104480,D,C,C,D,2025,,,,,2,4,4,2
123,한국철강,104700,C,C,B,C,2025,,,,,4,4,6,4
399,원익머트리얼즈,104830,B+,B+,A,B+,2025,,,,,7,7,8,7
254,케이엔더블유,105330,C,C,B,C,2025,,,,,4,4,6,4
1015,KB금융,105560,A+,A+,A+,A+,2025,,,,,9,9,9,9
101,한세실업,105630,A,B+,A+,A,2025,,,,,8,7,9,8
408,우진,105840,B,C,B,B,2025,,,,,6,4,6,6
675,미원홀딩스,107590,C,C,C,C,2025,,,,,4,4,4,4
975,LX세미콘,108320,A,A,A+,B+,2025,,,,,8,8,9,7
973,LX하우시스,108670,A,A,A,A,2025,,,,,8,8,8,8
563,셀바스AI,108860,D,D,D,D,2025,,,,,2,2,2,2
297,주성코퍼레이션,109070,D,C,C,D,2025,,,,,2,4,4,2
27,호전실업,111110,C,D,D,B+,2025,,,,,4,2,2,7
757,동인기연,111380,C,D,D,B,2025,,,,,4,2,2,6
434,영원무역,111770,B,B+,B+,C,2025,,,,,6,7,7,4
392,위메이드,112040,B+,A,A+,B,2025,,,,,7,8,9,6
512,씨에스윈드,112610,A,A+,A,B+,2025,,,,,8,9,8,7
1055,GKL,114090,A,A+,A,B+,2025,,,,,8,9,8,7
97,한솔아이원스,114810,A,B+,A,A,2025,,,,,8,7,8,8
487,아이패밀리에스씨,114840,C,D,D,B,2025,,,,,4,2,2,6
1031,HLB테라퓨틱스,115450,D,C,C,D,2025,,,,,2,4,4,2
815,대성에너지,117580,B,B+,B+,C,2025,,,,,6,7,7,4
699,메타케어,118000,D,D,D,D,2025,,,,,2,2,2,2
690,모트렉스,118990,C,C,B,D,2025,,,,,4,4,6,2
1011,KC코트렐,119650,D,C,C,D,2025,,,,,2,4,4,2
304,조선선재,120030,D,D,D,C,2025,,,,,2,2,2,4
231,코오롱인더,120110,A,B+,A+,B+,2025,,,,,8,7,9,7
860,나노신소재,121600,C,C,C,C,2025,,,,,4,4,4,4
418,와이지엔터테인먼트,122870,B+,A,A,B+,2025,,,,,7,8,8,7
499,아이마켓코리아,122900,C,C,B+,C,2025,,,,,4,4,7,4
113,한국화장품,123690,D,D,C,D,2025,,,,,2,2,4,2
469,에스제이엠,123700,C,C,C,C,2025,,,,,4,4,4,4
131,한국자산신탁,123890,D,C,C,D,2025,,,,,2,4,4,2
32,현대퓨처넷,126560,A,A,A+,A,2025,,,,,8,8,9,8
1087,BGF에코머티리얼즈,126600,B,B,B,B,2025,,,,,6,6,6,6
20,화신정공,126640,B,C,B+,B,2025,,,,,6,4,7,6
553,수산인더스트리,126720,D,D,D,D,2025,,,,,2,2,2,2
816,대성산업,128820,C,C,B,D,2025,,,,,4,4,6,2
105,한미약품,128940,B,A,A+,C,2025,,,,,6,8,9,4
344,인터지스,129260,C,C,C,B,2025,,,,,4,4,4,6
77,한전산업,130660,C,C,C,C,2025,,,,,4,4,4,4
199,티에스이,131290,D,D,C,D,2025,,,,,2,2,4,2
746,두산테스나,131970,B+,B+,A,B,2025,,,,,7,7,8,6
19,화인베스틸,133820,C,C,D,C,2025,,,,,4,4,2,4
674,미원화학,134380,C,C,C,B,2025,,,,,4,4,4,6
547,시디즈,134790,D,C,D,D,2025,,,,,2,4,2,2
149,하림,136480,A,A,A+,A,2025,,,,,8,8,9,8
583,선진,136490,A,B+,A,A,2025,,,,,8,7,8,8
477,에스디바이오센서,137310,C,C,B,C,2025,,,,,4,4,6,4
160,피엔티,137400,D,D,C,D,2025,,,,,2,2,4,2
706,메리츠금융지주,138040,A,B+,A,A,2025,,,,,8,7,8,8
235,코오롱ENP,138490,B+,B,A,B+,2025,,,,,7,6,8,7
1086,BNK금융지주,138930,A,A+,A+,A,2025,,,,,8,9,9,8
912,iM금융지주,139130,A,A,A,A,2025,,,,,8,8,8,8
364,이마트,139480,A+,A+,A+,A,2025,,,,,9,9,9,8
485,아주스틸,139990,C,C,B,D,2025,,,,,4,4,6,2
701,메지온,140410,D,D,D,D,2025,,,,,2,2,2,2
188,파크시스템스,140860,C,C,D,B,2025,,,,,4,4,2,6
462,에이리츠,140910,C,D,D,B,2025,,,,,4,2,2,6
714,리가켐바이오,141080,B+,B+,A,B,2025,,,,,7,7,8,6
58,핸즈코퍼레이션,143210,D,C,C,D,2025,,,,,2,4,4,2
648,사람인,143240,C,D,C,C,2025,,,,,4,2,4,4
294,지씨셀,144510,B,B+,A,C,2025,,,,,6,7,8,4
4,휴젤,145020,C,C,B+,C,2025,,,,,4,4,7,4
827,다이나믹디자인,145210,D,C,D,D,2025,,,,,2,4,2,2
251,케이탑리츠,145270,D,D,D,D,2025,,,,,2,2,2,2
780,덴티움,145720,D,D,D,D,2025,,,,,2,2,2,2
625,삼양사,145990,A,A,A,B+,2025,,,,,8,8,8,7
1006,KG에코솔루션,151860,C,B,B+,D,2025,,,,,4,6,7,2
1062,DSR,155660,D,C,C,D,2025,,,,,2,4,4,2
479,애경케미칼,161000,A,A,A+,A,2025,,,,,8,8,9,8
119,한국타이어앤테크놀로지,161390,A,B+,A+,B+,2025,,,,지배구조 등급조정(2025.11.),8,7,9,7
120,한국콜마,161890,A,A,A+,B+,2025,,,,,8,8,9,7
756,동일고무벨트,163560,B+,B+,A,B+,2025,,,,,7,7,8,7
157,하나머티리얼즈,166090,B,B+,A+,D,2025,,,,,6,7,9,2
766,동아에스티,170900,A,A,A+,A,2025,,,,,8,8,9,8
584,선익시스템,171090,D,D,D,D,2025,,,,,2,2,2,2
1021,JB금융지주,175330,A,A+,A,A,2025,,,,,8,9,8,8
587,서진시스템,178320,C,C,B,D,2025,,,,,4,4,6,2
961,PI첨단소재,178920,B+,B+,B+,B,2025,,,,,7,7,7,6
374,유티아이,179900,C,D,D,B,2025,,,,,4,2,2,6
74,한진칼,180640,A,A,A,A,2025,,,,,8,8,8,8
444,엔에이치엔,181710,A,A,A+,A,2025,,,,,8,8,9,8
504,아세아시멘트,183190,B+,A,B+,B,2025,,,,,7,8,7,6
243,코미코,183300,B,A,B+,C,2025,,,,,6,8,7,4
301,종근당,185750,A,A,A+,B+,2025,,,,,8,8,9,7
342,인텔리안테크,189300,C,C,B,D,2025,,,,,4,4,6,2
245,코리아에셋투자증권,190650,C,D,B,C,2025,,,,,4,2,6,4
787,더블유게임즈,192080,B,D,C,B+,2025,,,,,6,2,4,7
226,쿠쿠홀딩스,192400,C,D,C,C,2025,,,,,4,2,4,4
905,경남은행,192520,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
885,광주은행,192530,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
742,드림텍,192650,B,B,B,B+,2025,,,,,6,6,6,7
242,코스맥스,192820,A,A,A+,B+,2025,,,,,8,8,9,7
319,제이에스코퍼레이션,194370,D,D,D,C,2025,,,,,2,2,2,4
781,데브시스터즈,194480,D,D,D,D,2025,,,,,2,2,2,2
60,해성디에스,195870,A,A,A,B+,2025,,,,,8,8,8,7
1036,HK이노엔,195940,A,A,A+,A,2025,,,,,8,8,9,8
481,알테오젠,196170,C,D,C,C,2025,,,,,4,2,4,4
228,콜마비앤에이치,200130,B+,A,A,B,2025,,,,,7,8,8,6
593,서연이화,200880,B+,B+,A,B,2025,,,,,7,7,8,6
552,스타에스엠리츠,204210,D,D,D,D,2025,,,,,2,2,2,2
320,제이앤티씨,204270,D,C,D,D,2025,,,,,2,4,2,2
1030,HL만도,204320,A,A,A+,A,2025,,,,,8,8,9,8
637,삼성바이오로직스,207940,A,A,A+,A,2025,,,,,8,8,9,8
734,디와이파워,210540,C,C,D,B,2025,,,,,4,4,2,6
940,SK디앤디,210980,A,A+,A+,A,2025,,,,,8,9,9,8
784,덕산네오룩스,213420,C,B,A,D,2025,,,,,4,6,8,2
95,한솔제지,213500,A,A,A+,A,2025,,,,,8,8,9,8
219,클래시스,214150,A,A,A+,A,2025,,,,,8,8,9,8
367,이노션,214320,A,B+,A+,B+,2025,,,,,8,7,9,7
869,금호에이치티,214330,D,C,C,D,2025,,,,,2,4,4,2
267,케어젠,214370,C,D,C,B,2025,,,,,4,2,4,6
899,경보제약,214390,B+,A,A,B,2025,통합 등급조정(2025.11.),,,지배구조 등급조정(2025.11.),7,8,8,6
203,토니모리,214420,C,D,D,B,2025,,,,,4,2,2,6
190,파마리서치,214450,B+,B,A,B+,2025,,,,,7,6,8,7
890,골프존,215000,B,B+,B+,B,2025,,,,,6,7,7,6
708,메가스터디교육,215200,C,D,B,C,2025,,,,,4,2,6,4
346,인크로스,216050,B,D,B,B,2025,,,,,6,2,6,6
844,넵튠,217270,C,D,C,C,2025,,,,,4,2,4,4
397,원익피앤이,217820,D,C,C,D,2025,,,,,2,4,4,2
958,RFHIC,218410,D,C,D,D,2025,,,,,2,4,2,2
515,씨아이에스,222080,D,C,C,D,2025,,,,,2,4,4,2
519,심텍,222800,A,A,A+,B+,2025,,,,,8,8,9,7
845,넥슨게임즈,225570,C,C,B+,D,2025,,,,,4,4,7,2
327,잇츠한불,226320,C,C,C,C,2025,,,,,4,4,4,4
33,현대코퍼레이션홀딩스,227840,B+,B,B+,B+,2025,,,,,7,6,7,7
977,LS에코에너지,229640,C,D,C,B+,2025,,,,,4,2,4,7
420,와이씨,232140,D,C,C,D,2025,,,,,2,4,4,2
1020,JW생명과학,234080,B+,B+,A,B,2025,,,,,7,7,8,6
466,에스티팜,237690,A,A,A+,B+,2025,,,,,8,8,9,7
164,플레이디,237820,B+,B,B+,A,2025,,,,,7,6,7,8
401,원익IPS,240810,B,B+,A,C,2025,,,,,6,7,8,4
748,두산밥캣,241560,A,B+,A,A,2025,,,,,8,7,8,8
24,화승엔터프라이즈,241590,B+,B,A,B+,2025,,,,,7,6,8,7
240,코스메카코리아,241710,C,C,C,C,2025,,,,,4,4,4,4
5,휴온스,243070,A,A,A,A,2025,,,,,8,8,8,8
454,에이플러스에셋,244920,D,D,D,C,2025,,,,,2,2,2,4
450,에코프로비엠,247540,B+,B,A,B,2025,,,,,7,6,8,6
558,솔루엠,248070,C,B,B+,D,2025,,,,,4,6,7,2
596,샘표식품,248170,C,B,B+,D,2025,,,,,4,6,7,2
340,일동제약,249420,B,A,A+,C,2025,,,,,6,8,9,4
843,넷마블,251270,A,B+,A+,A,2025,,,,,8,7,9,8
551,스튜디오드래곤,253450,B+,A,A,B,2025,,,,,7,8,8,6
853,네오셈,253590,D,D,D,D,2025,,,,,2,2,2,2
520,실리콘투,257720,D,D,D,D,2025,,,,,2,2,2,2
220,크래프톤,259960,A,B+,A,A,2025,,,,,8,7,8,8
268,케어랩스,263700,D,D,C,D,2025,,,,,2,2,4,2
181,펄어비스,263750,B+,A,A+,B,2025,,,,,7,8,9,6
222,크라운제과,264900,B,B,B+,B,2025,,,,,6,6,7,6
1045,HD현대,267250,A,A,A+,B+,2025,,,,,8,8,9,7
1039,HD현대일렉트릭,267260,A+,A+,A+,A,2025,,,,,9,9,9,8
1044,HD현대건설기계,267270,A,A,A+,A,2025,,,,,8,8,9,8
902,경동도시가스,267290,C,C,B+,D,2025,,,,,4,4,7,2
501,아시아나IDT,267850,C,C,A,C,2025,,,,,4,4,8,4
710,매일유업,267980,A,A,A+,A,2025,,,,,8,8,9,8
676,미원에스씨,268280,C,C,C,B,2025,,,,,4,4,4,6
426,오리온,271560,B+,B+,A,B+,2025,,,,,7,7,8,7
329,일진하이솔루스,271940,C,C,C,B,2025,,,,,4,4,4,6
315,제일약품,271980,C,B,A,D,2025,,,,,4,6,8,2
65,한화시스템,272210,A,A,A+,B+,2025,,,,,8,8,9,7
366,이녹스첨단소재,272290,B+,B+,B+,B,2025,,,,,7,7,7,6
285,진에어,272450,A,A+,A,A,2025,,,,,8,9,8,8
621,삼양패키징,272550,B,B+,A,C,2025,,,,,6,7,8,4
419,와이즈버즈,273060,D,D,D,C,2025,,,,,2,2,2,4
731,레인보우로보틱스,277810,D,D,D,D,2025,,,,,2,2,2,2
280,천보,278280,D,C,D,D,2025,,,,,2,4,2,2
724,롯데웰푸드,280360,A,A,A,B+,2025,,,,,8,8,8,7
732,레이크머티리얼즈,281740,D,D,C,C,2025,,,,,2,2,4,4
256,케이씨텍,281820,B,B,C,B+,2025,,,,,6,6,4,7
1088,BGF리테일,282330,A+,A+,A+,A,2025,,,,,9,9,9,8
225,쿠쿠홈시스,284740,C,D,C,C,2025,,,,,4,2,4,4
933,SK케미칼,285130,A+,A+,A+,A,2025,,,,,9,9,9,8
723,롯데이노베이트,286940,A,A,A+,A,2025,,,,,8,8,9,8
440,엘앤씨바이오,290650,C,D,C,B+,2025,,,,,4,2,4,7
154,하나제약,293480,C,D,C,C,2025,,,,,4,2,4,4
274,카카오게임즈,293490,A,A,A+,A,2025,,,,,8,8,9,8
859,나우IB,293580,D,D,D,D,2025,,,,,2,2,2,2
1047,HDC현대산업개발,294870,A,A+,A+,B+,2025,,,,,8,9,9,7
10,효성화학,298000,A,A,A+,B+,2025,,,,,8,8,9,7
11,효성티앤씨,298020,A,A,A+,B+,2025,,,,,8,8,9,7
12,효성중공업,298040,B,A,A+,D,2025,,,,,6,8,9,2
1024,HS효성첨단소재,298050,A,A,A+,B+,2025,,,,,8,8,9,7
460,에이비엘바이오,298380,C,D,D,B+,2025,,,,,4,2,2,7
463,에어부산,298690,B,B+,B+,C,2025,,,,,6,7,7,4
83,한일시멘트,300720,B+,A,A+,B,2025,,,,,7,8,9,6
939,SK바이오사이언스,302440,A,B+,A+,A,2025,,,,,8,7,9,8
572,세아제강,306200,B+,B+,A,B+,2025,,,,,7,7,8,7
44,현대오토에버,307950,A,A,A+,B+,2025,,,,,8,8,9,7
510,씨티알모빌리티,308170,C,C,C,C,2025,,,,,4,4,4,4
664,보로노이,310210,D,D,D,C,2025,,,,,2,2,2,4
1079,CJ 바이오사이언스,311690,B+,B,B+,B+,2025,,,,,7,6,7,7
416,우리금융지주,316140,A,A+,A+,B+,2025,,,,지배구조 등급조정(2025.11.),8,9,9,7
783,덕산테코피아,317330,D,C,C,D,2025,,,,,2,4,4,2
326,자이에스앤디,317400,B+,B+,A,B+,2025,,,,,7,7,8,7
162,피에스케이,319660,C,B,B+,C,2025,,,,,4,6,7,4
1041,HD현대에너지솔루션,322000,A,A,A,A,2025,,,,,8,8,8,8
273,카카오뱅크,323410,A,A,A,A,2025,,,,,8,8,8,8
467,에스케이바이오팜,326030,A,A,A,A,2025,,,,,8,8,8,8
715,루닛,328130,C,C,B+,D,2025,,,,,4,4,7,2
1038,HD현대중공업,329180,A,A,A,A,2025,,,,,8,8,8,8
745,두산퓨얼셀,336260,A,A,A+,B+,2025,,,,,8,8,9,7
559,솔루스첨단소재,336370,B+,B+,B+,B,2025,,,,,7,7,7,6
395,원텍,336570,D,D,D,D,2025,,,,,2,2,2,2
882,교촌에프앤비,339770,D,C,D,D,2025,,,,,2,4,2,2
257,케이씨씨글라스,344820,A,A,A,A,2025,,,,,8,8,8,8
847,넥스틴,348210,B+,B+,A,B+,2025,,,,,7,7,8,7
442,엔켐,348370,D,C,C,D,2025,,,,,2,4,4,2
513,씨앤씨인터내셔널,352480,C,D,D,B+,2025,,,,,4,2,2,7
147,하이브,352820,B+,B+,A,B+,2025,,,,,7,7,8,7
823,대덕전자,353200,B+,B+,A+,B,2025,,,,,7,7,9,6
557,솔브레인,357780,A,B+,A+,B+,2025,,,,,8,7,9,7
293,지아이이노베이션,358570,C,D,C,C,2025,,,,,4,2,4,4
937,SK아이이테크놀로지,361610,A,A,A+,B+,2025,,,,,8,8,9,7
197,티와이홀딩스,363280,C,B+,B+,D,2025,,,,,4,7,7,2
578,성일하이텍,365340,D,C,C,D,2025,,,,,2,4,4,2
371,윤성에프앤씨,372170,C,C,D,C,2025,,,,,4,4,2,4
71,한컴라이프케어,372910,C,C,B,D,2025,,,,,4,4,6,2
988,LG에너지솔루션,373220,A,B+,A+,A,2025,,,,,8,7,9,8
1065,DL이앤씨,375500,A,A+,A,B+,2025,,,사회 등급조정(2026.01.),,8,9,8,7
737,디어유,376300,C,D,C,C,2025,,,,,4,2,4,4
272,카카오페이,377300,A,A,A+,A,2025,,,,,8,8,9,8
672,바이오노트,377740,C,D,D,B,2025,,,,,4,2,2,6
25,화승알앤에이,378850,B+,B+,A,B,2025,,,,,7,7,8,6
252,케이카,381970,B,C,B,B,2025,,,,,6,4,6,6
1057,F&F,383220,A,A,A+,A,2025,,,,,8,8,9,8
449,에코프로에이치엔,383310,B+,B+,A,B+,2025,,,,,7,7,8,7
972,LX홀딩스,383800,A,A,A+,B+,2025,,,,,8,8,9,7
786,더블유씨피,393890,D,C,D,D,2025,,,,,2,4,2,2
422,오픈엣지테크놀로지,394280,C,D,D,B,2025,,,,,4,2,2,6
910,가온칩스,399720,D,D,D,C,2025,,,,,2,2,2,4
938,SK스퀘어,402340,A,A,A+,A,2025,,,,,8,8,9,8
516,쏘카,403550,C,D,D,B,2025,,,,,4,2,2,6
1027,HPSP,403870,C,D,C,B,2025,,,,,4,2,4,6
978,LS머트리얼즈,417200,B,C,B,B+,2025,,,,,6,4,6,7
692,모델솔루션,417970,C,C,D,C,2025,,,,지배구조 등급조정(2026.01.),4,4,2,4
318,제이오,418550,D,D,D,C,2025,,,,,2,2,2,4
866,기가비스,420770,C,C,D,B,2025,,,,,4,4,2,6
194,티이엠씨,425040,D,C,C,D,2025,,,,,2,4,4,2
388,유니드비티플러스,446070,C,C,C,C,2025,,,,,4,4,4,4
451,에코프로머티,450080,B+,B,B+,B+,2025,,,,,7,6,7,7
233,코오롱모빌리티그룹,450140,C,D,D,B+,2025,,,,,4,2,2,7
69,한화갤러리아,452260,B,C,B,B+,2025,,,,,6,4,6,7
56,현대그린푸드,453340,A,A,A+,A,2025,,,,,8,8,9,8
749,두산로보틱스,454910,C,D,C,B+,2025,,,,,4,2,4,7
963,OCI,456040,A,B+,A,A,2025,,,,,8,7,8,8
363,이수스페셜티케미컬,457190,D,D,C,C,2025,,,,,2,2,4,4
778,동국씨엠,460850,B+,B+,A,B,2025,,,,,7,7,8,6
777,동국제강,460860,A,B+,A+,B+,2025,,,,,8,7,9,7
305,조선내화,462520,B,B+,A,C,2025,,,,,6,7,8,4
921,STX그린로지스,465770,D,D,D,D,2025,,,,,2,2,2,2
265,케이뱅크,800172,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
156,하나생명보험,800845,등급없음,등급없음,등급없음,B,2025,,,,,0,0,0,6
1085,BNK캐피탈,801190,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
202,토스뱅크,801671,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
458,에이아이에이생명보험,801688,등급없음,등급없음,등급없음,B,2025,,,,,0,0,0,6
459,에이비엘생명보험,804337,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
117,한국투자증권,804504,등급없음,등급없음,등급없음,D,2025,,,,지배구조 등급조정(2025.11.),0,0,0,2
153,하나증권,805992,등급없음,등급없음,등급없음,B+,2025,,,,지배구조 등급조정(2025.11.),0,0,0,7
445,엔에이치농협캐피탈,806955,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
266,케이디비생명보험,807958,등급없음,등급없음,등급없음,B,2025,,,,,0,0,0,6
151,하나캐피탈,809337,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
496,아이비케이투자증권,809467,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
884,교보생명보험,811097,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
524,신한캐피탈,811323,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
492,아이엠라이프생명보험,813363,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
490,아이엠증권,814270,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
37,현대카드,815419,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
1072,DB생명보험,818158,등급없음,등급없음,등급없음,B,2025,,,,,0,0,0,6
3,흥국생명보험,818586,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
321,제이비우리캐피탈,818905,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
497,아이비케이캐피탈,828519,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
528,신한라이프생명보험,828992,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
498,아이비케이연금보험,829322,등급없음,등급없음,등급없음,B,2025,,,,,0,0,0,6
698,메트라이프생명보험,832969,등급없음,등급없음,등급없음,C,2025,,,,,0,0,0,4
116,한국투자캐피탈,833339,등급없음,등급없음,등급없음,B,2025,,,,,0,0,0,6
36,현대캐피탈,836248,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
652,비씨카드,837726,등급없음,등급없음,등급없음,B,2025,,,,,0,0,0,6
263,케이비라이프생명보험,839185,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
835,농협금융지주,839683,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
968,NH농협손해보험,839719,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
834,농협생명보험,839723,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
833,농협은행,839742,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
679,미래에셋캐피탈,840265,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
719,롯데카드,854231,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
718,롯데캐피탈,855981,등급없음,등급없음,등급없음,B,2025,,,,,0,0,0,6
152,하나카드,856659,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
170,푸본현대생명보험,860086,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
264,케이비국민카드,861717,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
704,메리츠캐피탈,867865,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
650,비엠더블유파이낸셜서비스코리아,878437,등급없음,등급없음,등급없음,D,2025,,,,,0,0,0,2
412,우리카드,879070,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
733,라이나생명보험,885673,등급없음,등급없음,등급없음,B+,2025,,,,,0,0,0,7
35,현대커머셜,888975,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
