NO,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,ESG 등급조정,환경 등급조정,사회 등급조정,지배구조 등급조정,ESG점수,E점수,S점수,G점수
684,미래산업,025560,D,C,C,D,2025,,,,,2,4,4,2
317,제이준코스메틱,025620,D,D,D,D,2025,,,,,2,2,2,2
90,한솔홈데코,025750,B+,B+,B+,B+,2025,,,,,7,7,7,7
368,이구산업,025820,C,C,D,C,2025,,,,,4,4,2,4
854,남해화학,025860,D,C,C,D,2025,,,,,2,4,4,2
125,한국주강,025890,D,D,D,D,2025,,,,,2,2,2,2
752,동화기업,025900,C,B,B+,D,2025,,,,,4,6,7,2
509,아난티,025980,D,B,C,D,2025,,,,,2,6,4,2
550,스틱인베스트먼트,026890,B+,B+,A,B,2025,,,,,7,7,8,6
660,부국철강,026940,D,D,D,D,2025,,,,,2,2,2,2
770,동서,026960,D,C,C,D,2025,,,,,2,4,4,2
486,아주IB투자,027360,B,C,A,B,2025,,,,,6,4,8,6
1089,BGF,027410,A,A,A+,B+,2025,,,,,8,8,9,7
712,마니커,027740,C,C,C,C,2025,,,,,4,4,4,4
127,한국제지,027970,D,C,C,D,2025,,,,,2,4,4,2
641,삼성E&A,028050,A,A,A,A,2025,,,,,8,8,8,8
765,동아지질,028100,C,C,B,C,2025,,,,,4,4,6,4
638,삼성물산,028260,A,A,A,A+,2025,통합 등급조정(2026.01.),,사회 등급조정(2026.01.),,8,8,8,9
1034,HLB,028300,C,B,C,C,2025,,,,,4,6,4,4
184,팬오션,028670,A,A,A,B+,2025,,,,,8,8,8,7
259,케이씨,029460,C,C,B+,C,2025,,,,,4,4,7,4
544,신도리코,029530,D,C,C,D,2025,,,,,2,4,4,2
628,삼성카드,029780,A,A,A+,A,2025,,,,,8,8,9,8
316,제일기획,030000,B+,A,A,B+,2025,,,,,7,8,8,7
965,NICE평가정보,030190,B+,C,B+,B+,2025,,,,,7,4,7,7
250,케이티,030200,A,A,A,A,2025,,,사회 등급조정(2026.01.),,8,8,8,8
831,다올투자증권,030210,B+,B+,A,B+,2025,,,,,7,7,8,7
111,한글과컴퓨터,030520,C,D,C,C,2025,,,,,4,2,4,4
396,원익홀딩스,030530,C,B,B+,C,2025,,,,,4,6,7,4
883,교보증권,030610,B+,A,A,B+,2025,통합 등급조정(2025.11.),,,지배구조 등급조정(2025.11.),7,8,8,7
759,동원수산,030720,D,D,D,D,2025,,,,,2,2,2,2
590,서울보증보험,031210,등급없음,등급없음,등급없음,B,2025,,,,,0,0,0,6
537,신세계인터내셔날,031430,A,A,A+,B+,2025,,,,,8,8,9,7
536,신세계푸드,031440,A,A,A+,A,2025,,,,,8,8,9,8
489,아이티센씨티에스,031820,C,B+,A,D,2025,,,,,4,7,8,2
161,피에스케이홀딩스,031980,B,B+,B+,C,2025,,,,,6,7,7,4
829,다우데이타,032190,D,D,C,D,2025,,,,,2,2,4,2
729,롯데관광개발,032350,D,D,C,D,2025,,,,,2,2,4,2
253,케이엠더블유,032500,D,D,C,C,2025,,,,,2,2,4,4
15,황금에스티,032560,C,D,D,B,2025,,,,,4,2,2,6
987,LG유플러스,032640,A,A+,A+,A,2025,,,,,8,9,9,8
525,신한카드,032710,등급없음,등급없음,등급없음,A,2025,,,,,0,0,0,8
636,삼성생명,032830,A,A+,A,B+,2025,,,,,8,9,8,7
402,원익,032940,D,D,D,D,2025,,,,,2,2,2,2
322,제룡전기,033100,C,C,D,B,2025,,,,,4,4,2,6
549,시그네틱스,033170,D,C,C,D,2025,,,,,2,4,4,2
1003,KH 필룩스,033180,D,C,D,D,2025,,,,,2,4,2,2
325,자화전자,033240,C,C,B,D,2025,,,,,4,4,6,2
277,체시스,033250,D,C,D,D,2025,,,,,2,4,2,2
390,유나이티드,033270,B+,B,A,B+,2025,,,,,7,6,8,7
946,SJG세종,033530,C,C,B,D,2025,,,,,4,4,6,2
850,네패스,033640,C,B,B+,C,2025,,,,,4,6,7,4
415,우리금융캐피탈,033660,등급없음,등급없음,등급없음,B,2025,,,,,0,0,0,6
247,케이티앤지,033780,A,A,A+,A,2025,,,,,8,8,9,8
687,무학,033920,C,C,C,C,2025,,,,,4,4,4,4
747,두산에너빌리티,034020,B,A,A+,D,2025,,,,,6,8,9,2
956,SBS,034120,B+,B,A,B+,2025,,,,,7,6,8,7
990,LG디스플레이,034220,A,A,A+,B+,2025,,,,,8,8,9,7
191,파라다이스,034230,B+,A,A+,B,2025,,,,,7,8,9,6
966,NICE,034310,B+,B,A,B+,2025,,,,,7,6,8,7
347,인천도시가스,034590,C,D,B,B,2025,,,,,4,2,6,6
945,SK,034730,A,A,A+,A,2025,,,,,8,8,9,8
118,한국토지신탁,034830,D,D,C,D,2025,,,,,2,2,4,2
1026,HS애드,035000,B,C,B,B+,2025,,,,,6,4,6,7
669,백산,035150,D,C,C,D,2025,,,,,2,4,4,2
908,강원랜드,035250,A,A+,A,A,2025,,,,,8,9,8,8
970,NAVER,035420,A,A,A+,A,2025,,,,,8,8,9,8
538,신세계I&C,035510,A,A,A+,A,2025,,,,,8,8,9,8
1005,KG이니시스,035600,C,C,B+,D,2025,,,,,4,4,7,2
275,카카오,035720,A,A,A+,A,2025,,,,,8,8,9,8
1080,CJ ENM,035760,B+,B+,A+,B,2025,,,,,7,7,9,6
1017,JYP Ent.,035900,B+,A,A+,B,2025,,,,,7,8,9,6
248,케이티알파,036030,B+,A,A,B+,2025,,,,,7,8,8,7
229,콘텐트리중앙,036420,D,D,C,D,2025,,,,,2,2,4,2
143,한국가스공사,036460,A,A,A+,B+,2025,,,,,8,8,9,7
925,SNT홀딩스,036530,C,C,C,C,2025,,,,,4,4,4,4
954,SFA반도체,036540,C,C,C,C,2025,,,,,4,4,4,4
993,KZ정밀,036560,B+,B,B+,B+,2025,,,,,7,6,7,7
446,엔씨소프트,036570,A,B+,A,A,2025,,,,,8,7,8,8
186,팜스코,036580,A,B,A,A,2025,,,,,8,6,8,8
623,삼양케이씨아이,036670,A,A,A+,B+,2025,,,,,8,8,9,7
448,에프에스티,036810,C,C,B,D,2025,,,,,4,4,6,2
556,솔브레인홀딩스,036830,A,B+,A+,B+,2025,,,,,8,7,9,7
298,주성엔지니어링,036930,B+,B+,A,B+,2025,,,,,7,7,8,7
914,YG PLUS,037270,C,D,D,B,2025,,,,,4,2,2,6
984,LG헬로비전,037560,A,A,A+,A,2025,,,,,8,8,9,8
886,광주신세계,037710,A,A,A+,A,2025,,,,,8,8,9,8
607,삼표시멘트,038500,A,A,A+,A,2025,,,,,8,8,9,8
355,이오테크닉스,039030,D,C,C,D,2025,,,,,2,4,4,2
150,하나투어,039130,B+,A,A,B+,2025,,,,,7,8,8,7
423,오스코텍,039200,D,D,C,D,2025,,,,,2,2,4,2
217,키움증권,039490,B+,B+,A,B+,2025,,,,,7,7,8,7
1049,HDC랩스,039570,B+,B+,A,B+,2025,,,,,7,7,8,7
913,YTN,040300,D,D,D,C,2025,,,,,2,2,2,4
414,우리기술투자,041190,D,D,D,D,2025,,,,,2,2,2,2
46,현대에버다임,041440,A,B+,A,A,2025,,,,,8,7,8,8
473,에스엠,041510,B+,B+,A,B+,2025,,,,,7,7,8,7
599,상신브레이크,041650,B,B,B,B,2025,,,,,6,6,6,6
271,카페24,042000,C,D,C,B,2025,,,,,4,2,4,6
62,한화오션,042660,C,A,D,D,2025,,,사회 등급조정(2025.11.),,4,8,2,2
1040,HD현대인프라코어,042670,A,A,A+,A,2025,,,,,8,8,9,8
107,한미반도체,042700,D,D,D,D,2025,,,,,2,2,2,2
994,KT지니뮤직,043610,C,D,C,B,2025,,,,,4,2,4,6
296,주연테크,044380,D,D,D,D,2025,,,,,2,2,2,2
998,KSS해운,044450,B+,B+,A,B,2025,,,,,7,7,8,6
241,코스맥스비티아이,044820,A,A,A+,B+,2025,,,,,8,8,9,7
1009,KG모빌리언스,046440,B,C,B+,B,2025,,,,,6,4,7,6
591,서울반도체,046890,C,C,B,D,2025,,,,,4,4,6,2
809,대우건설,047040,A,A,B+,A,2025,,,사회 등급조정(2025.11.),,8,8,7,8
173,포스코인터내셔널,047050,A,B+,A+,A,2025,,,,,8,7,9,8
385,유니온머티리얼,047400,D,C,D,D,2025,,,,,2,4,2,2
114,한국항공우주,047810,A,A,A,B+,2025,,,,,8,8,8,7
51,현대바이오,048410,D,D,D,D,2025,,,,,2,2,2,2
930,SM C&C,048550,D,D,C,D,2025,,,,,2,2,4,2
345,인탑스,049070,B+,B+,A,B,2025,,,,,7,7,8,6
406,우진플라임,049800,D,C,D,D,2025,,,,,2,4,2,2
343,인터플렉스,051370,C,B,B,C,2025,,,,,4,6,6,4
1075,CJ프레시웨이,051500,A,A,A+,B+,2025,,,,,8,8,9,7
79,한전KPS,051600,A,A,A,A,2025,,,사회 등급조정(2025.11.),,8,8,8,8
286,진양화학,051630,D,D,D,D,2025,,,,,2,2,2,2
989,LG생활건강,051900,A,B+,A+,A,2025,,,,,8,7,9,8
983,LG화학,051910,B+,B,A+,B+,2025,,,,,7,6,9,7
50,현대바이오랜드,052260,A+,A+,A+,A,2025,,,,,9,9,9,8
78,한전기술,052690,A,A,A+,B+,2025,,,,,8,8,9,7
